REGIAO,COD_UF,UF,NAME_UF,COD_MESO,COD_MICRO,COD_MUNIC,MUNIC,Abacate,Abacaxi*,Açaí,Alfafa fenada,Algodão arbóreo (em caroço),Algodão herbáceo (em caroço),Alho,Amendoim (em casca),Arroz (em casca),Aveia (em grão),Azeitona,Banana (cacho),Batata-doce,Batata-inglesa,Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Cana-de-açúcar,Cana para forragem,Caqui,Castanha de caju,Cebola,Centeio (em grão),Cevada (em grão),Chá-da-índia (folha verde),Coco-da-baía*,Dendê (cacho de coco),Erva-mate (folha verde),Ervilha (em grão),Fava (em grão),Feijão (em grão),Figo,Fumo (em folha),Girassol (em grão),Goiaba,Guaraná (semente),Juta (fibra),Laranja,Limão,Linho (semente),Maçã,Malva (fibra),Mamão,Mamona (baga),Mandioca,Manga,Maracujá,Marmelo,Melancia,Melão,Milho (em grão),Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta-do-reino,Rami (fibra),Sisal ou agave (fibra),Soja (em grão),Sorgo (em grão),Tangerina,Tomate,Trigo (em grão),Triticale (em grão),Tungue (fruto seco),Urucum (semente),Uva
Norte,11,RO,Rondônia,1102,11006,1100015,Alta Floresta D'Oeste,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,135.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,55.0,6140.0,0.0,6140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,509.0,0.0,8.0,0.0,20.0,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0
Norte,11,RO,Rondônia,1102,11003,1100023,Ariquemes,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,255.0,165.0,0.0,165.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,8.0,0.0,0.0,0.0,4.0,0.0,105.0,0.0,18.0,0.0,25.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9191.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0
Norte,11,RO,Rondônia,1102,11008,1100031,Cabixi,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,900.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,24.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,1.0,0.0,4.0,0.0,23040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Norte,11,RO,Rondônia,1102,11006,1100049,Cacoal,0.0,85.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,120.0,3780.0,0.0,3780.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,38.0,0.0,0.0,0.0,95.0,0.0,320.0,0.0,20.0,0.0,20.0,0.0,1150.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2605.0,0.0,7.0,10.0,0.0,0.0,0.0,15.0,0.0
Norte,11,RO,Rondônia,1102,11008,1100056,Cerejeiras,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,220.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,26.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,100.0,0.0,3.0,0.0,25.0,0.0,28510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35216.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0
Norte,11,RO,Rondônia,1102,11008,1100064,Colorado do Oeste,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,37.0,35.0,0.0,35.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,151.0,0.0,2.0,0.0,3.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3175.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
Norte,11,RO,Rondônia,1102,11008,1100072,Corumbiara,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,1500.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,22.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,28520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0
Norte,11,RO,Rondônia,1101,11002,1100080,Costa Marques,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Norte,11,RO,Rondônia,1102,11006,1100098,Espigão D'Oeste,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,3.0,1530.0,0.0,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,362.0,0.0,0.0,0.0,5.0,0.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Norte,11,RO,Rondônia,1101,11002,1100106,Guajará-Mirim,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,300.0,0.0,0.0,0.0,8.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
