Ano,REGIAO,COD_UF,UF,NAME_UF,COD_MESO,COD_MICRO,COD_MUNIC,MUNIC,Abacate,Abacaxi*,Açaí,Alfafa fenada,Algodão arbóreo (em caroço),Algodão herbáceo (em caroço),Alho,Amendoim (em casca),Arroz (em casca),Aveia (em grão),Azeitona,Banana (cacho),Batata-doce,Batata-inglesa,Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Cana-de-açúcar,Cana para forragem,Caqui,Castanha de caju,Cebola,Centeio (em grão),Cevada (em grão),Chá-da-índia (folha verde),Coco-da-baía*,Dendê (cacho de coco),Erva-mate (folha verde),Ervilha (em grão),Fava (em grão),Feijão (em grão),Figo,Fumo (em folha),Girassol (em grão),Goiaba,Guaraná (semente),Juta (fibra),Laranja,Limão,Linho (semente),Maçã,Malva (fibra),Mamão,Mamona (baga),Mandioca,Manga,Maracujá,Marmelo,Melancia,Melão,Milho (em grão),Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta-do-reino,Rami (fibra),Sisal ou agave (fibra),Soja (em grão),Sorgo (em grão),Tangerina,Tomate,Trigo (em grão),Triticale (em grão),Tungue (fruto seco),Urucum (semente),Uva
2020,Norte,11,RO,Rondônia,1102,11006,1100015,Alta Floresta D'Oeste,0,205,4,0,0,0,0,3,705,0,0,1859,0,0,0,0,36,15356,0,15356,0,300,0,0,0,0,0,0,0,52,0,0,0,0,2044,0,0,0,40,0,0,150,50,0,0,0,40,0,11320,0,75,0,178,0,16267,0,0,0,0,22,0,0,1350,0,14,350,0,0,0,39,0
2020,Norte,11,RO,Rondônia,1102,11003,1100023,Ariquemes,0,410,45,0,0,0,0,0,1650,0,0,2997,0,0,0,0,695,373,0,373,0,721,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,37,3,0,64,38,0,0,0,120,0,4400,0,158,0,385,49,5760,0,0,0,0,0,0,0,25497,0,16,45,0,0,0,9,0
2020,Norte,11,RO,Rondônia,1102,11008,1100031,Cabixi,0,60,0,0,0,0,0,1,1920,0,0,225,0,0,0,0,10,74,0,74,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,80,0,0,0,0,0,1225,0,0,0,18,0,93920,0,0,0,0,0,0,0,86772,0,0,0,0,0,0,99,0
2020,Norte,11,RO,Rondônia,1102,11006,1100049,Cacoal,0,1850,0,0,0,0,0,15,90,0,0,5220,0,0,0,0,115,16088,0,16088,0,1000,0,0,0,0,0,0,0,60,0,0,0,0,788,0,0,0,150,1,0,550,200,0,0,0,1950,0,7700,0,290,0,710,0,3616,0,0,0,0,48,0,0,3000,0,35,205,0,0,0,21,0
2020,Norte,11,RO,Rondônia,1102,11008,1100056,Cerejeiras,0,750,0,0,0,0,0,13,2000,0,0,108,0,0,0,0,3,97,0,97,0,7000,0,0,0,0,0,0,0,24,0,0,0,0,17,0,0,0,15,0,0,0,20,0,0,0,120,0,1990,0,36,0,1161,0,147360,0,0,0,0,2,0,0,140760,0,0,1000,0,0,0,98,0
2020,Norte,11,RO,Rondônia,1102,11008,1100064,Colorado do Oeste,0,103,0,0,0,0,0,5,38,0,0,367,0,0,0,0,0,62,0,62,0,315,0,0,0,0,0,0,0,38,0,0,0,0,5,0,0,0,0,0,0,91,30,0,0,0,28,0,2700,0,23,0,84,0,7063,0,0,0,0,0,0,0,10888,0,0,140,0,0,0,22,0
2020,Norte,11,RO,Rondônia,1102,11008,1100072,Corumbiara,0,375,0,0,0,0,0,0,9600,0,0,240,0,0,0,0,9,61,0,61,0,1200,0,0,0,0,0,0,0,24,0,0,0,0,48,0,0,0,0,0,0,0,12,0,0,0,0,0,2595,0,16,0,0,0,119664,0,0,0,0,0,0,0,142800,0,0,0,0,0,0,5,0
2020,Norte,11,RO,Rondônia,1101,11002,1100080,Costa Marques,0,109,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,293,3,0,0,0,0,0,3353,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0
2020,Norte,11,RO,Rondônia,1102,11006,1100098,Espigão D'Oeste,0,28,13,0,0,0,0,0,84,0,0,538,0,0,0,0,5,1995,0,1995,0,0,0,0,0,0,0,0,0,90,0,0,0,0,126,0,0,0,20,0,0,1250,220,0,0,0,75,0,5304,0,0,0,380,0,5482,0,0,0,0,0,0,0,2700,0,0,320,0,0,0,0,0
2020,Norte,11,RO,Rondônia,1101,11002,1100106,Guajará-Mirim,0,100,0,0,0,0,0,0,15,0,0,480,0,0,0,0,1,24,0,24,0,220,0,0,0,0,0,0,0,49,0,0,0,0,9,0,0,0,20,0,0,0,24,0,0,0,78,0,11200,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,5,0,0,0,0,16,0
