REGIAO,COD_UF,UF,COD_MESO,COD_MICRO,COD_MUNIC,MUNIC,Abacate,Abacaxi*,Açaí,Alfafa fenada,Algodão arbóreo (em caroço),Algodão herbáceo (em caroço),Alho,Amendoim (em casca),Arroz (em casca),Aveia (em grão),Azeitona,Banana (cacho),Batata-doce,Batata-inglesa,Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Cana-de-açúcar,Cana para forragem,Caqui,Castanha de caju,Cebola,Centeio (em grão),Cevada (em grão),Chá-da-índia (folha verde),Coco-da-baía*,Dendê (cacho de coco),Erva-mate (folha verde),Ervilha (em grão),Fava (em grão),Feijão (em grão),Figo,Fumo (em folha),Girassol (em grão),Goiaba,Guaraná (semente),Juta (fibra),Laranja,Limão,Linho (semente),Maçã,Malva (fibra),Mamão,Mamona (baga),Mandioca,Manga,Maracujá,Marmelo,Melancia,Melão,Milho (em grão),Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta-do-reino,Rami (fibra),Sisal ou agave (fibra),Soja (em grão),Sorgo (em grão),Tangerina,Tomate,Trigo (em grão),Triticale (em grão),Tungue (fruto seco),Urucum (semente),Uva
N,11,RO,1102.0,11006.0,1100015,Alta Floresta D'Oeste,0.0,247.0,40.0,0.0,0.0,0.0,0.0,100.0,547.0,0.0,0.0,3725.0,0.0,0.0,0.0,0.0,366.0,224615.0,0.0,224615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,2152.0,0.0,0.0,0.0,65.0,22.0,0.0,0.0,131.0,0.0,0.0,0.0,87.0,0.0,17128.0,0.0,248.0,0.0,865.0,0.0,7281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14090.0,0.0,7.0,5250.0,0.0,0.0,0.0,0.0,0.0
N,11,RO,1102.0,11003.0,1100023,Ariquemes,0.0,1052.0,100.0,0.0,0.0,0.0,0.0,0.0,4160.0,0.0,0.0,8856.0,0.0,0.0,0.0,0.0,2490.0,2702.0,0.0,2702.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,88.0,62.0,0.0,124.0,110.0,0.0,0.0,0.0,183.0,0.0,4306.0,0.0,566.0,0.0,784.0,0.0,15604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91584.0,0.0,0.0,268.0,0.0,0.0,0.0,83.0,0.0
N,11,RO,1102.0,11008.0,1100031,Cabixi,0.0,138.0,0.0,0.0,0.0,0.0,0.0,8.0,5146.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,59.0,719.0,0.0,719.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,59.0,0.0,0.0,0.0,27.0,0.0,525.0,0.0,31.0,0.0,147.0,0.0,122820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273948.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,0.0
N,11,RO,1102.0,11006.0,1100049,Cacoal,0.0,5054.0,0.0,0.0,0.0,0.0,0.0,63.0,32.0,0.0,0.0,15540.0,0.0,0.0,0.0,0.0,531.0,145195.0,0.0,145195.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,387.0,46.0,0.0,0.0,702.0,0.0,0.0,0.0,2743.0,0.0,6886.0,0.0,603.0,0.0,800.0,0.0,6995.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,25829.0,0.0,48.0,1253.0,0.0,0.0,0.0,124.0,0.0
N,11,RO,1102.0,11008.0,1100056,Cerejeiras,0.0,1326.0,0.0,0.0,0.0,0.0,0.0,45.0,899.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,12.0,1130.0,0.0,1130.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,119.0,0.0,3280.0,0.0,90.0,0.0,930.0,0.0,178510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330078.0,0.0,0.0,205.0,0.0,0.0,0.0,101.0,0.0
N,11,RO,1102.0,11008.0,1100064,Colorado do Oeste,0.0,540.0,0.0,0.0,0.0,0.0,0.0,30.0,22.0,0.0,0.0,1083.0,0.0,0.0,0.0,0.0,244.0,1317.0,0.0,1317.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,42.0,0.0,0.0,84.0,36.0,0.0,0.0,0.0,92.0,0.0,6457.0,0.0,67.0,0.0,103.0,0.0,15792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33630.0,0.0,0.0,115.0,0.0,0.0,0.0,46.0,0.0
N,11,RO,1102.0,11008.0,1100072,Corumbiara,0.0,1090.0,0.0,0.0,0.0,0.0,0.0,30.0,5597.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,23.0,465.0,0.0,465.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,9.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4827.0,0.0,0.0,0.0,0.0,0.0,186837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428264.0,0.0,0.0,361.0,0.0,0.0,0.0,162.0,0.0
N,11,RO,1101.0,11002.0,1100080,Costa Marques,0.0,588.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,0.0,5556.0,0.0,5556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.0,16.0,0.0,0.0,0.0,0.0,0.0,5070.0,0.0,0.0,0.0,0.0,0.0,6278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4411.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0
N,11,RO,1102.0,11006.0,1100098,Espigão D'Oeste,0.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,0.0,0.0,1418.0,0.0,0.0,0.0,0.0,22.0,59700.0,0.0,59700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,147.0,0.0,10423.0,0.0,0.0,0.0,165.0,0.0,6343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11897.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0
N,11,RO,1101.0,11002.0,1100106,Guajará-Mirim,0.0,474.0,29.0,0.0,0.0,0.0,0.0,0.0,2596.0,0.0,0.0,481.0,0.0,0.0,0.0,0.0,0.0,1929.0,0.0,1929.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,120.0,0.0,13600.0,0.0,0.0,0.0,256.0,0.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0
