Ano,REGIAO,COD_UF,UF,NAME_UF,COD_MESO,COD_MICRO,COD_MUNIC,MUNIC,Abacate,Abacaxi*,Açaí,Alfafa fenada,Algodão arbóreo (em caroço),Algodão herbáceo (em caroço),Alho,Amendoim (em casca),Arroz (em casca),Aveia (em grão),Azeitona,Banana (cacho),Batata-doce,Batata-inglesa,Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Cana-de-açúcar,Cana para forragem,Caqui,Castanha de caju,Cebola,Centeio (em grão),Cevada (em grão),Chá-da-índia (folha verde),Coco-da-baía*,Dendê (cacho de coco),Erva-mate (folha verde),Ervilha (em grão),Fava (em grão),Feijão (em grão),Figo,Fumo (em folha),Girassol (em grão),Goiaba,Guaraná (semente),Juta (fibra),Laranja,Limão,Linho (semente),Maçã,Malva (fibra),Mamão,Mamona (baga),Mandioca,Manga,Maracujá,Marmelo,Melancia,Melão,Milho (em grão),Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta-do-reino,Rami (fibra),Sisal ou agave (fibra),Soja (em grão),Sorgo (em grão),Tangerina,Tomate,Trigo (em grão),Triticale (em grão),Tungue (fruto seco),Urucum (semente),Uva
2020,Norte,11,RO,Rondônia,1102,11006,1100015,Alta Floresta D'Oeste,0,417,8,0,0,0,0,20,1010,0,0,3340,0,0,0,0,298,69803,0,69803,0,51,0,0,0,0,0,0,0,55,0,0,0,0,7495,0,0,0,140,0,0,300,75,0,0,0,72,0,17103,0,225,0,200,0,11277,0,0,0,0,171,0,0,2205,0,25,945,0,0,0,90,0
2020,Norte,11,RO,Rondônia,1102,11003,1100023,Ariquemes,0,821,88,0,0,0,0,0,2200,0,0,5604,0,0,0,0,6742,1513,0,1513,0,99,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,131,24,0,106,66,0,0,0,183,0,2479,0,365,0,404,57,7949,0,0,0,0,0,0,0,29360,0,29,133,0,0,0,23,0
2020,Norte,11,RO,Rondônia,1102,11008,1100031,Cabixi,0,126,0,0,0,0,0,8,1728,0,0,415,0,0,0,0,93,345,0,345,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,132,0,0,0,0,0,1047,0,0,0,22,0,65711,0,0,0,0,0,0,0,115268,0,0,0,0,0,0,228,0
2020,Norte,11,RO,Rondônia,1102,11006,1100049,Cacoal,0,3645,0,0,0,0,0,53,73,0,0,10054,0,0,0,0,1139,79767,0,79767,0,138,0,0,0,0,0,0,0,72,0,0,0,0,2364,0,0,0,424,8,0,963,250,0,0,0,2438,0,11743,0,725,0,710,0,3119,0,0,0,0,353,0,0,3189,0,61,560,0,0,0,50,0
2020,Norte,11,RO,Rondônia,1102,11008,1100056,Cerejeiras,0,1478,0,0,0,0,0,46,1800,0,0,199,0,0,0,0,28,438,0,438,0,525,0,0,0,0,0,0,0,24,0,0,0,0,68,0,0,0,64,0,0,0,35,0,0,0,150,0,1525,0,105,0,1045,0,103149,0,0,0,0,12,0,0,185779,0,0,2500,0,0,0,225,0
2020,Norte,11,RO,Rondônia,1102,11008,1100064,Colorado do Oeste,0,216,0,0,0,0,0,25,34,0,0,677,0,0,0,0,0,286,0,286,0,53,0,0,0,0,0,0,0,38,0,0,0,0,20,0,0,0,0,0,0,139,54,0,0,0,50,0,3780,0,67,0,101,0,4941,0,0,0,0,0,0,0,11899,0,0,398,0,0,0,53,0
2020,Norte,11,RO,Rondônia,1102,11008,1100072,Corumbiara,0,751,0,0,0,0,0,0,8640,0,0,443,0,0,0,0,84,283,0,283,0,203,0,0,0,0,0,0,0,24,0,0,0,0,192,0,0,0,0,0,0,0,23,0,0,0,0,0,3358,0,48,0,0,0,83764,0,0,0,0,0,0,0,189150,0,0,0,0,0,0,13,0
2020,Norte,11,RO,Rondônia,1101,11002,1100080,Costa Marques,0,225,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,108,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,407,6,0,0,0,0,0,3770,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0
2020,Norte,11,RO,Rondônia,1102,11006,1100098,Espigão D'Oeste,0,59,27,0,0,0,0,0,74,0,0,964,0,0,0,0,45,10211,0,10211,0,0,0,0,0,0,0,0,0,95,0,0,0,0,462,0,0,0,86,0,0,1563,385,0,0,0,114,0,6409,0,0,0,399,0,3717,0,0,0,0,0,0,0,3682,0,0,874,0,0,0,0,0
2020,Norte,11,RO,Rondônia,1101,11002,1100106,Guajará-Mirim,0,207,0,0,0,0,0,0,11,0,0,552,0,0,0,0,6,65,0,65,0,22,0,0,0,0,0,0,0,57,0,0,0,0,28,0,0,0,86,0,0,0,46,0,0,0,119,0,13200,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,10,0,0,0,0,21,0
2020,Norte,11,RO,Rondônia,1102,11004,1100114,Jaru,0,422,53,0,0,0,0,0,4,0,0,8364,0,0,0,0,4863,2547,0,2547,0,34,0,0,0,0,0,0,0,37,0,0,0,0,496,0,0,0,36,8,0,116,68,0,0,0,0,0,23510,0,45,0,295,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Norte,11,RO,Rondônia,1102,11004,1100122,Ji-Paraná,0,205,0,0,0,0,0,8,0,0,0,463,0,0,0,0,504,555,0,555,0,129,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,185,0,0,96,88,0,0,0,117,0,4838,0,170,0,400,0,42,0,0,0,0,18,0,0,0,0,0,347,0,0,0,10,0
2020,Norte,11,RO,Rondônia,1102,11003,1100130,Machadinho D'Oeste,0,945,0,0,0,0,0,25,0,0,0,6045,0,0,0,0,1271,11578,0,11578,0,87,0,0,0,0,0,0,0,29,0,0,0,0,20,0,0,0,0,63,0,172,58,0,0,0,90,0,10988,0,57,0,600,0,413,0,0,0,0,106,0,0,61833,0,56,89,0,0,0,18,0
2020,Norte,11,RO,Rondônia,1102,11005,1100148,Nova Brasilândia D'Oeste,0,733,52,0,0,0,0,20,7,0,0,928,0,0,0,0,18,38649,0,38649,0,15,0,0,0,0,0,0,0,40,0,0,0,0,205,0,0,0,120,16,0,170,36,0,0,0,231,0,7538,0,135,0,264,0,368,0,0,0,0,18,0,0,1227,0,0,0,0,0,0,26,0
2020,Norte,11,RO,Rondônia,1102,11004,1100155,Ouro Preto do Oeste,0,65,0,0,0,0,0,0,12,0,0,638,0,0,0,0,7584,870,0,870,0,26,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,95,56,0,0,0,0,0,2322,0,100,0,394,0,94,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0
