,Ranking IDHM 2010,Município,IDHM 2010,"IDHM
Renda
2010",IDHM Longevidade 2010,IDHM Educação 2010,UF,MUNIC
0,1 º,São Caetano do Sul (SP),0.862,0.891,0.887,0.811,SP,São Caetano do Sul
1,2 º,Águas de São Pedro (SP),0.854,0.849,0.89,0.825,SP,Águas de São Pedro
2,3 º,Florianópolis (SC),0.847,0.87,0.873,0.8,SC,Florianópolis
3,4 º,Balneário Camboriú (SC),0.845,0.854,0.894,0.789,SC,Balneário Camboriú
4,4 º,Vitória (ES),0.845,0.876,0.855,0.805,ES,Vitória
5,6 º,Santos (SP),0.84,0.861,0.852,0.807,SP,Santos
6,7 º,Niterói (RJ),0.837,0.887,0.854,0.773,RJ,Niterói
7,8 º,Joaçaba (SC),0.827,0.823,0.891,0.771,SC,Joaçaba
8,9 º,Brasília (DF),0.824,0.863,0.873,0.742,DF,Brasília
9,10 º,Curitiba (PR),0.823,0.85,0.855,0.768,PR,Curitiba
10,11 º,Jundiaí (SP),0.822,0.834,0.866,0.768,SP,Jundiaí
11,12 º,Valinhos (SP),0.819,0.848,0.85,0.763,SP,Valinhos
12,13 º,Vinhedo (SP),0.817,0.84,0.878,0.739,SP,Vinhedo
13,14 º,Santo André (SP),0.815,0.819,0.861,0.769,SP,Santo André
14,14 º,Araraquara (SP),0.815,0.788,0.877,0.782,SP,Araraquara
15,16 º,Santana de Parnaíba (SP),0.814,0.876,0.849,0.725,SP,Santana de Parnaíba
16,17 º,Nova Lima (MG),0.813,0.864,0.885,0.704,MG,Nova Lima
17,18 º,Ilha Solteira (SP),0.812,0.786,0.871,0.782,SP,Ilha Solteira
18,19 º,Americana (SP),0.811,0.8,0.876,0.76,SP,Americana
19,20 º,Belo Horizonte (MG),0.81,0.841,0.856,0.737,MG,Belo Horizonte
20,21 º,São José (SC),0.809,0.799,0.88,0.752,SC,São José
21,21 º,Joinville (SC),0.809,0.795,0.889,0.749,SC,Joinville
22,23 º,Maringá (PR),0.808,0.806,0.852,0.768,PR,Maringá
23,24 º,São José dos Campos (SP),0.807,0.804,0.855,0.764,SP,São José dos Campos
24,25 º,Blumenau (SC),0.806,0.812,0.894,0.722,SC,Blumenau
25,25 º,Presidente Prudente (SP),0.806,0.788,0.858,0.774,SP,Presidente Prudente
26,25 º,Rio Fortuna (SC),0.806,0.848,0.85,0.727,SC,Rio Fortuna
27,28 º,São Paulo (SP),0.805,0.843,0.855,0.725,SP,São Paulo
28,28 º,Assis (SP),0.805,0.771,0.865,0.781,SP,Assis
29,28 º,Campinas (SP),0.805,0.829,0.86,0.731,SP,Campinas
30,28 º,São Bernardo do Campo (SP),0.805,0.807,0.861,0.752,SP,São Bernardo do Campo
31,28 º,Porto Alegre (RS),0.805,0.867,0.857,0.702,RS,Porto Alegre
32,28 º,São Carlos (SP),0.805,0.788,0.863,0.766,SP,São Carlos
33,34 º,Rio Claro (SP),0.803,0.784,0.862,0.766,SP,Rio Claro
34,34 º,Jaraguá do Sul (SC),0.803,0.793,0.865,0.755,SC,Jaraguá do Sul
35,36 º,Rio do Sul (SC),0.802,0.793,0.894,0.727,SC,Rio do Sul
36,37 º,Bauru (SP),0.801,0.8,0.854,0.752,SP,Bauru
37,37 º,São Miguel do Oeste (SC),0.801,0.787,0.884,0.739,SC,São Miguel do Oeste
38,37 º,Pirassununga (SP),0.801,0.789,0.884,0.736,SP,Pirassununga
39,40 º,Concórdia (SC),0.8,0.777,0.872,0.756,SC,Concórdia
40,40 º,Vila Velha (ES),0.8,0.807,0.864,0.734,ES,Vila Velha
