REGIAO;COD_UF;UF;COD_MESO;COD_MICRO;COD_MUNIC;MUNIC;CAPITAL
Norte;11;RO;1102;11006;1100015;Alta Floresta D'Oeste;F
Norte;11;RO;1102;11003;1100023;Ariquemes;F
Norte;11;RO;1102;11008;1100031;Cabixi;F
Norte;11;RO;1102;11006;1100049;Cacoal;F
Norte;11;RO;1102;11008;1100056;Cerejeiras;F
Norte;11;RO;1102;11008;1100064;Colorado do Oeste;F
Norte;11;RO;1102;11008;1100072;Corumbiara;F
Norte;11;RO;1101;11002;1100080;Costa Marques;F
Norte;11;RO;1102;11006;1100098;Espigão D'Oeste;F
Norte;11;RO;1101;11002;1100106;Guajará-Mirim;F
Norte;11;RO;1102;11004;1100114;Jaru;F
Norte;11;RO;1102;11004;1100122;Ji-Paraná;F
Norte;11;RO;1102;11003;1100130;Machadinho D'Oeste;F
Norte;11;RO;1102;11005;1100148;Nova Brasilândia D'Oeste;F
Norte;11;RO;1102;11004;1100155;Ouro Preto do Oeste;F
Norte;11;RO;1102;11007;1100189;Pimenta Bueno;F
Norte;11;RO;1101;11001;1100205;Porto Velho;T
Norte;11;RO;1102;11004;1100254;Presidente Médici;F
Norte;11;RO;1102;11003;1100262;Rio Crespo;F
Norte;11;RO;1102;11006;1100288;Rolim de Moura;F
Norte;11;RO;1102;11006;1100296;Santa Luzia D'Oeste;F
Norte;11;RO;1102;11007;1100304;Vilhena;F
Norte;11;RO;1102;11005;1100320;São Miguel do Guaporé;F
Norte;11;RO;1101;11001;1100338;Nova Mamoré;F
Norte;11;RO;1102;11005;1100346;Alvorada D'Oeste;F
Norte;11;RO;1102;11006;1100379;Alto Alegre dos Parecis;F
Norte;11;RO;1102;11003;1100403;Alto Paraíso;F
Norte;11;RO;1101;11001;1100452;Buritis;F
Norte;11;RO;1102;11006;1100502;Novo Horizonte do Oeste;F
Norte;11;RO;1102;11003;1100601;Cacaulândia;F
Norte;11;RO;1101;11001;1100700;Campo Novo de Rondônia;F
Norte;11;RO;1101;11001;1100809;Candeias do Jamari;F
Norte;11;RO;1102;11006;1100908;Castanheiras;F
Norte;11;RO;1102;11007;1100924;Chupinguaia;F
Norte;11;RO;1101;11001;1100940;Cujubim;F
Norte;11;RO;1102;11004;1101005;Governador Jorge Teixeira;F
Norte;11;RO;1101;11001;1101104;Itapuã do Oeste;F
Norte;11;RO;1102;11006;1101203;Ministro Andreazza;F
Norte;11;RO;1102;11004;1101302;Mirante da Serra;F
Norte;11;RO;1102;11003;1101401;Monte Negro;F
Norte;11;RO;1102;11004;1101435;Nova União;F
Norte;11;RO;1102;11007;1101450;Parecis;F
Norte;11;RO;1102;11008;1101468;Pimenteiras do Oeste;F
Norte;11;RO;1102;11007;1101476;Primavera de Rondônia;F
Norte;11;RO;1102;11007;1101484;São Felipe D'Oeste;F
Norte;11;RO;1101;11002;1101492;São Francisco do Guaporé;F
Norte;11;RO;1102;11005;1101500;Seringueiras;F
Norte;11;RO;1102;11004;1101559;Teixeirópolis;F
Norte;11;RO;1102;11004;1101609;Theobroma;F
Norte;11;RO;1102;11004;1101708;Urupá;F
Norte;11;RO;1102;11003;1101757;Vale do Anari;F
Norte;11;RO;1102;11004;1101807;Vale do Paraíso;F
Norte;12;AC;1202;12004;1200013;Acrelândia;F
Norte;12;AC;1202;12005;1200054;Assis Brasil;F
Norte;12;AC;1202;12005;1200104;Brasiléia;F
Norte;12;AC;1202;12004;1200138;Bujari;F
Norte;12;AC;1202;12004;1200179;Capixaba;F
Norte;12;AC;1201;12001;1200203;Cruzeiro do Sul;F
Norte;12;AC;1202;12005;1200252;Epitaciolândia;F
Norte;12;AC;1201;12002;1200302;Feijó;F
Norte;12;AC;1201;12002;1200328;Jordão;F
Norte;12;AC;1201;12001;1200336;Mâncio Lima;F
Norte;12;AC;1202;12003;1200344;Manoel Urbano;F
Norte;12;AC;1201;12001;1200351;Marechal Thaumaturgo;F
Norte;12;AC;1202;12004;1200385;Plácido de Castro;F
Norte;12;AC;1201;12001;1200393;Porto Walter;F
Norte;12;AC;1202;12004;1200401;Rio Branco;T
Norte;12;AC;1201;12001;1200427;Rodrigues Alves;F
Norte;12;AC;1202;12003;1200435;Santa Rosa do Purus;F
Norte;12;AC;1202;12004;1200450;Senador Guiomard;F
Norte;12;AC;1202;12003;1200500;Sena Madureira;F
Norte;12;AC;1201;12002;1200609;Tarauacá;F
Norte;12;AC;1202;12005;1200708;Xapuri;F
Norte;12;AC;1202;12004;1200807;Porto Acre;F
Norte;13;AM;1303;13005;1300029;Alvarães;F
Norte;13;AM;1302;13003;1300060;Amaturá;F
Norte;13;AM;1303;13006;1300086;Anamã;F
Norte;13;AM;1303;13006;1300102;Anori;F
Norte;13;AM;1304;13013;1300144;Apuí;F
Norte;13;AM;1302;13003;1300201;Atalaia do Norte;F
Norte;13;AM;1303;13007;1300300;Autazes;F
Norte;13;AM;1301;13001;1300409;Barcelos;F
Norte;13;AM;1303;13010;1300508;Barreirinha;F
Norte;13;AM;1302;13003;1300607;Benjamin Constant;F
Norte;13;AM;1303;13006;1300631;Beruri;F
Norte;13;AM;1303;13010;1300680;Boa Vista do Ramos;F
Norte;13;AM;1304;13011;1300706;Boca do Acre;F
Norte;13;AM;1304;13013;1300805;Borba;F
