,COD_UF,UF,NOME_UF,COD_MUNIC,NOME_MUNIC,COD_MESO,NOME_MESO,COD_MICRO,NOME_MICRO
0,11,RO,Rondônia,1100015,Alta Floresta D'Oeste,1102,Leste Rondoniense,11006,Cacoal
1,11,RO,Rondônia,1100023,Ariquemes,1102,Leste Rondoniense,11003,Ariquemes
2,11,RO,Rondônia,1100031,Cabixi,1102,Leste Rondoniense,11008,Colorado do Oeste
3,11,RO,Rondônia,1100049,Cacoal,1102,Leste Rondoniense,11006,Cacoal
4,11,RO,Rondônia,1100056,Cerejeiras,1102,Leste Rondoniense,11008,Colorado do Oeste
5,11,RO,Rondônia,1100064,Colorado do Oeste,1102,Leste Rondoniense,11008,Colorado do Oeste
6,11,RO,Rondônia,1100072,Corumbiara,1102,Leste Rondoniense,11008,Colorado do Oeste
7,11,RO,Rondônia,1100080,Costa Marques,1101,Madeira-Guaporé,11002,Guajará-Mirim
8,11,RO,Rondônia,1100098,Espigão D'Oeste,1102,Leste Rondoniense,11006,Cacoal
9,11,RO,Rondônia,1100106,Guajará-Mirim,1101,Madeira-Guaporé,11002,Guajará-Mirim
10,11,RO,Rondônia,1100114,Jaru,1102,Leste Rondoniense,11004,Ji-Paraná
11,11,RO,Rondônia,1100122,Ji-Paraná,1102,Leste Rondoniense,11004,Ji-Paraná
12,11,RO,Rondônia,1100130,Machadinho D'Oeste,1102,Leste Rondoniense,11003,Ariquemes
13,11,RO,Rondônia,1100148,Nova Brasilândia D'Oeste,1102,Leste Rondoniense,11005,Alvorada D'Oeste
14,11,RO,Rondônia,1100155,Ouro Preto do Oeste,1102,Leste Rondoniense,11004,Ji-Paraná
15,11,RO,Rondônia,1100189,Pimenta Bueno,1102,Leste Rondoniense,11007,Vilhena
16,11,RO,Rondônia,1100205,Porto Velho,1101,Madeira-Guaporé,11001,Porto Velho
17,11,RO,Rondônia,1100254,Presidente Médici,1102,Leste Rondoniense,11004,Ji-Paraná
18,11,RO,Rondônia,1100262,Rio Crespo,1102,Leste Rondoniense,11003,Ariquemes
19,11,RO,Rondônia,1100288,Rolim de Moura,1102,Leste Rondoniense,11006,Cacoal
20,11,RO,Rondônia,1100296,Santa Luzia D'Oeste,1102,Leste Rondoniense,11006,Cacoal
21,11,RO,Rondônia,1100304,Vilhena,1102,Leste Rondoniense,11007,Vilhena
22,11,RO,Rondônia,1100320,São Miguel do Guaporé,1102,Leste Rondoniense,11005,Alvorada D'Oeste
23,11,RO,Rondônia,1100338,Nova Mamoré,1101,Madeira-Guaporé,11001,Porto Velho
24,11,RO,Rondônia,1100346,Alvorada D'Oeste,1102,Leste Rondoniense,11005,Alvorada D'Oeste
25,11,RO,Rondônia,1100379,Alto Alegre dos Parecis,1102,Leste Rondoniense,11006,Cacoal
26,11,RO,Rondônia,1100403,Alto Paraíso,1102,Leste Rondoniense,11003,Ariquemes
27,11,RO,Rondônia,1100452,Buritis,1101,Madeira-Guaporé,11001,Porto Velho
28,11,RO,Rondônia,1100502,Novo Horizonte do Oeste,1102,Leste Rondoniense,11006,Cacoal
29,11,RO,Rondônia,1100601,Cacaulândia,1102,Leste Rondoniense,11003,Ariquemes
30,11,RO,Rondônia,1100700,Campo Novo de Rondônia,1101,Madeira-Guaporé,11001,Porto Velho
31,11,RO,Rondônia,1100809,Candeias do Jamari,1101,Madeira-Guaporé,11001,Porto Velho
32,11,RO,Rondônia,1100908,Castanheiras,1102,Leste Rondoniense,11006,Cacoal
33,11,RO,Rondônia,1100924,Chupinguaia,1102,Leste Rondoniense,11007,Vilhena
34,11,RO,Rondônia,1100940,Cujubim,1101,Madeira-Guaporé,11001,Porto Velho
35,11,RO,Rondônia,1101005,Governador Jorge Teixeira,1102,Leste Rondoniense,11004,Ji-Paraná
36,11,RO,Rondônia,1101104,Itapuã do Oeste,1101,Madeira-Guaporé,11001,Porto Velho
37,11,RO,Rondônia,1101203,Ministro Andreazza,1102,Leste Rondoniense,11006,Cacoal
38,11,RO,Rondônia,1101302,Mirante da Serra,1102,Leste Rondoniense,11004,Ji-Paraná
39,11,RO,Rondônia,1101401,Monte Negro,1102,Leste Rondoniense,11003,Ariquemes
