COD_MUNIC;NOME_MUNIC;UF;NOME_MUNIC;IPS
1100015;Alta Floresta D'Oeste ;RO;Rondônia;50.95
1100023;Ariquemes ;RO;Rondônia;55.97
1100031;Cabixi ;RO;Rondônia;51.36
1100049;Cacoal ;RO;Rondônia;61.85
1100056;Cerejeiras ;RO;Rondônia;58.71
1100064;Colorado do Oeste ;RO;Rondônia;59.60
1100072;Corumbiara ;RO;Rondônia;55.14
1100080;Costa Marques ;RO;Rondônia;51.47
1100098;Espigão D'Oeste ;RO;Rondônia;54.92
1100106;Guajará-Mirim ;RO;Rondônia;54.61
1100114;Jaru ;RO;Rondônia;56.73
1100122;Ji-Paraná ;RO;Rondônia;56.12
1100130;Machadinho D'Oeste ;RO;Rondônia;49.28
1100148;Nova Brasilândia D'Oeste ;RO;Rondônia;54.49
1100155;Ouro Preto do Oeste ;RO;Rondônia;56.58
1100189;Pimenta Bueno ;RO;Rondônia;58.35
1100205;Porto Velho ;RO;Rondônia;57.10
1100254;Presidente Médici ;RO;Rondônia;54.85
1100262;Rio Crespo ;RO;Rondônia;49.83
1100288;Rolim de Moura ;RO;Rondônia;58.93
1100296;Santa Luzia D'Oeste ;RO;Rondônia;51.31
1100304;Vilhena ;RO;Rondônia;59.11
1100320;São Miguel do Guaporé ;RO;Rondônia;50.02
1100338;Nova Mamoré ;RO;Rondônia;45.33
1100346;Alvorada D'Oeste ;RO;Rondônia;59.49
1100379;Alto Alegre dos Parecis ;RO;Rondônia;51.09
1100403;Alto Paraíso ;RO;Rondônia;48.64
1100452;Buritis ;RO;Rondônia;49.42
1100502;Novo Horizonte do Oeste ;RO;Rondônia;52.48
1100601;Cacaulândia ;RO;Rondônia;52.92
1100700;Campo Novo de Rondônia ;RO;Rondônia;49.87
1100809;Candeias do Jamari ;RO;Rondônia;49.82
1100908;Castanheiras ;RO;Rondônia;57.95
1100924;Chupinguaia ;RO;Rondônia;53.60
1100940;Cujubim ;RO;Rondônia;45.49
1101005;Governador Jorge Teixeira ;RO;Rondônia;49.88
1101104;Itapuã do Oeste ;RO;Rondônia;53.62
1101203;Ministro Andreazza ;RO;Rondônia;57.06
1101302;Mirante da Serra ;RO;Rondônia;50.83
1101401;Monte Negro ;RO;Rondônia;48.27
